bit_size,use_features,use_chirality,radius,activities,metric,metric_op,metric_val,min_cmpds,k,boosters,inferred,corrcoef,test1_labels,test2_labels
2048,false,false,9,"KD, KI",r2,min,0.0,10,1,240,122,0.31175390113211454,0.28511017587404286,0.3381694873031472
2048,true,true,3,"KD, KI",r2,min,0.0,10,1,248,119,0.29225537871454565,0.3124931559031538,0.2566246888146579
2048,false,false,5,"KD, KI",r2,min,0.0,10,1,244,124,0.3063100392141451,0.2973565964267826,0.31079659073121796
2048,true,true,2,"KD, KI",r2,min,0.0,10,1,230,136,0.2852700240389054,0.33045541250503646,0.21076100581493523
2048,false,false,11,"KD, KI",r2,min,0.0,10,1,240,131,0.32538519457353776,0.33080657147349757,0.3103984659190656
2048,false,false,3,"KD, KI, EC50",r2,min,0.0,10,1,248,126,0.2915617480004878,0.29340167025094516,0.276612053759199
2048,false,false,2,"KD, KI, EC50",r2,min,0.0,10,1,242,134,0.2949769188294238,0.280507714747921,0.3054635935987986
2048,false,false,11,"KD, KI, EC50",r2,min,0.0,10,1,251,123,0.2945738935844049,0.3046913205402116,0.2766400876499186
2048,false,false,3,"KD, KI",r2,min,0.0,10,1,239,131,0.29476869247661985,0.30767146980117743,0.282055148600295
2048,true,true,1,"KD, KI",r2,min,0.0,10,1,236,127,0.27198694924511996,0.27252182706647354,0.2707067047522055
2048,false,false,5,"KD, KI, EC50",r2,min,0.0,10,1,239,134,0.30563927506740113,0.290175657483414,0.3166393373552121
2048,true,true,3,"KD, KI, EC50, IC50",r2,min,0.0,10,1,346,78,0.3025616088466115,0.2522026662289682,0.3552268302888877
2048,false,false,7,"KD, KI, EC50",r2,min,0.0,10,1,252,124,0.2551547667382755,0.2400177863209777,0.27159046992578584
2048,false,false,1,"KD, KI",r2,min,0.0,10,1,227,136,0.3266311515979688,0.3680389688281425,0.27744690481369305
2048,false,false,11,"KD, KI, EC50, IC50",r2,min,0.0,10,1,336,84,0.316480962089541,0.3225482323968944,0.30559598911410485
2048,false,false,2,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,395,48,0.34945042576275404,0.3202889878918937,0.3692938615751789
2048,false,false,3,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,402,45,0.3212577903456101,0.2785373204644422,0.36847293784076546
2048,false,false,1,"KD, KI, EC50",r2,min,-0.5,10,1,354,55,0.3375485610219178,0.3298596810609212,0.3423685585318921
2048,false,false,9,"KD, KI",r2,min,-0.25,10,1,320,67,0.316403865392926,0.2681035609443311,0.368602915948367
2048,true,true,3,"KD, KI",r2,min,-0.25,10,1,318,75,0.31440845025790404,0.3287258669776826,0.29330649786192103
2048,false,false,5,"KD, KI",r2,min,-0.25,10,1,321,73,0.32118275800407103,0.2857736681235383,0.3587793846328509
2048,true,true,2,"KD, KI",r2,min,-0.25,10,1,314,79,0.32803785634061194,0.3677499813220775,0.2665890642395658
2048,false,false,11,"KD, KI",r2,min,-0.25,10,1,310,82,0.3264816919623779,0.3204376490629014,0.32765061323364425
2048,false,false,3,"KD, KI, EC50",r2,min,-0.25,10,1,324,83,0.2960827911824367,0.28074474885024203,0.3099666718613562
2048,false,false,2,"KD, KI, EC50",r2,min,-0.25,10,1,326,77,0.28647709401184973,0.2687985814404422,0.3008654883761711
2048,false,false,11,"KD, KI, EC50",r2,min,-0.25,10,1,322,74,0.2988756352775533,0.2803976750736297,0.31674816376628023
2048,false,false,3,"KD, KI",r2,min,-0.25,10,1,316,77,0.30373874255230493,0.2811411661877371,0.32858445133216097
2048,true,true,1,"KD, KI",r2,min,-0.25,10,1,308,79,0.31296511156915874,0.3073877601486218,0.32398813706759927
2048,false,false,5,"KD, KI, EC50",r2,min,-0.25,10,1,317,79,0.32044736412943725,0.2844927743492709,0.35967833378205116
2048,true,true,3,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,392,50,0.29398791710806826,0.23026285362310653,0.3637432549865692
